,Variedad,Cantidad
0,Pinot Noir,999
1,Chardonnay,581
2,Cabernet Sauvignon,560
3,Zinfandel,409
4,Red Blend,339
5,Syrah,289
6,Sauvignon Blanc,172
7,Bordeaux-style Red Blend,133
8,Rh̫ne-style Red Blend,113
9,Petite Sirah,86
