,Variedad,Cantidad
0,Pinot Noir,6896
1,Cabernet Sauvignon,5693
2,Chardonnay,5183
3,Zinfandel,2639
4,Syrah,1870
5,Sauvignon Blanc,1807
6,Red Blend,1804
7,Merlot,1391
8,Bordeaux-style Red Blend,876
9,Petite Sirah,694
10,Sparkling Blend,547
11,Rosé,513
12,Rhône-style Red Blend,499
13,Viognier,436
14,Grenache,373
15,Cabernet Franc,361
16,White Blend,361
17,Pinot Grigio,291
18,Riesling,262
19,Sangiovese,255
20,Malbec,202
21,Barbera,199
22,Pinot Gris,192
23,Meritage,184
24,Rhône-style White Blend,164
25,Gewürztraminer,140
26,Tempranillo,140
27,Mourvèdre,123
28,G-S-M,110
29,Petit Verdot,105
30,Albariño,101
31,Grenache Blanc,97
32,Moscato,93
33,Roussanne,93
34,Primitivo,79
35,Chenin Blanc,76
36,Fumé Blanc,65
37,Pinot Blanc,61
38,Champagne Blend,59
39,Port,55
40,Vermentino,37
41,Shiraz,37
42,Cabernet Sauvignon-Syrah,36
43,Sémillon,35
44,Nebbiolo,35
45,Tannat,33
46,Semillon-Sauvignon Blanc,31
47,Carignane,30
48,Muscat Canelli,29
49,Charbono,26
50,Marsanne,26
51,Grüner Veltliner,26
52,Syrah-Grenache,25
53,Verdelho,24
54,Grenache-Syrah,24
55,Dolcetto,24
56,Claret,22
57,Pinot Meunier,21
58,Sauvignon Blanc-Semillon,21
59,Cabernet Blend,20
60,Orange Muscat,18
61,Syrah-Cabernet Sauvignon,18
62,Bordeaux-style White Blend,18
63,Muscat,18
64,Cinsault,17
65,Cabernet Sauvignon-Merlot,17
66,Petite Verdot,14
67,Teroldego,14
68,Aglianico,14
69,Montepulciano,14
70,Arneis,13
71,Colombard,12
72,Chenin Blanc-Viognier,12
73,Touriga Nacional,12
74,Malvasia Bianca,12
75,Roussanne-Viognier,11
76,Muscat Blanc,10
77,Graciano,10
78,Syrah-Petite Sirah,10
79,Carignan,9
80,Fiano,9
81,Marsanne-Roussanne,9
82,Cabernet Sauvignon-Cabernet Franc,9
83,Garnacha,8
84,White Riesling,8
85,Merlot-Cabernet Sauvignon,8
86,Black Muscat,7
87,Mission,7
88,Syrah-Viognier,7
89,Pinotage,6
90,Alicante Bouschet,6
91,Tempranillo Blend,6
92,Valdiguié,6
93,Cabernet Franc-Merlot,6
94,Syrah-Tempranillo,6
95,Lagrein,6
96,Picpoul,6
97,Cabernet Sauvignon-Sangiovese,5
98,Pinot-Chardonnay,5
99,Chardonnay-Viognier,5
100,Merlot-Cabernet Franc,5
101,Torrontés,5
102,Tocai Friulano,5
103,Grenache-Mourvèdre,5
104,Sangiovese-Syrah,5
105,Dornfelder,5
106,Syrah-Cabernet Franc,4
107,Syrah-Cabernet,4
108,Grenache Blend,4
109,Monastrell,4
110,Sangiovese-Cabernet Sauvignon,4
111,Aligoté,4
112,Symphony,4
113,Syrah-Mourvèdre,4
114,Chardonnay-Semillon,3
115,Trousseau Gris,3
116,Carmenère,3
117,Verdejo,3
118,Counoise,3
119,Viognier-Roussanne,3
120,Sangiovese Cabernet,3
121,Ugni Blanc,3
122,Sagrantino,3
123,Mataro,3
124,Johannisberg Riesling,3
125,Edelzwicker,2
126,Sauvignon Gris,2
127,Scheurebe,2
128,Malbec-Syrah,2
129,Falanghina,2
130,Roussanne-Marsanne,2
131,Viognier-Grenache Blanc,2
132,Muscadine,2
133,Negrette,2
134,Souzao,2
135,Ribolla Gialla,2
136,Blaufränkisch,2
137,Chardonnay-Albariño,2
138,Grenache Noir,2
139,Sherry,2
140,Cortese,2
141,Muscat Hamburg,2
142,Rosato,2
143,Debit,2
144,Cabernet Merlot,2
145,Viognier-Chardonnay,2
146,Nero d'Avola,2
147,Black Monukka,2
148,Cabernet Pfeffer,2
149,Muscat Blanc à Petits Grains,1
150,Muskat,1
151,Alvarelhão,1
152,Clairette,1
153,Greco,1
154,Merlot-Malbec,1
155,Palomino,1
156,Marsanne-Viognier,1
157,Mourvèdre-Syrah,1
158,Refosco,1
159,Cabernet Sauvignon-Barbera,1
160,Sauvignon Musqué,1
161,Cabernet Sauvignon-Carmenère,1
162,Negroamaro,1
163,Syrah-Grenache-Viognier,1
164,Tempranillo-Cabernet Sauvignon,1
165,White Port,1
166,Cabernet Sauvignon-Shiraz,1
167,Syrah-Merlot,1
168,Syrah-Petit Verdot,1
169,Abouriou,1
170,Trebbiano,1
171,Pinot Nero,1
172,Semillon-Chardonnay,1
173,Cabernet Sauvignon-Tempranillo,1
174,Madeira Blend,1
175,Pinot Blanc-Viognier,1
176,Cabernet Sauvignon-Malbec,1
177,Moscato Giallo,1
178,Roussanne-Grenache Blanc,1
179,Cabernet-Shiraz,1
180,Gamay,1
181,Viognier-Marsanne,1
182,Tinta Madeira,1
183,Merlot-Cabernet,1
184,Cabernet,1
185,Kerner,1
186,Pinot Blanc-Chardonnay,1
187,Silvaner,1
188,Viognier-Valdiguié,1
189,Prosecco,1
190,Tannat-Syrah,1
191,Rosado,1
192,Muscat d'Alexandrie,1
193,Alvarinho,1
